[array([ 12., 259.]), [53.27248645166648, 11.179099355139197, 53]]
[array([ 16., 251.]), [53.272547892355185, 11.179044262116062, 52]]
[array([ 24., 248.]), [53.27256938698066, 11.178939310333359, 52]]
[array([ 25., 248.]), [53.272569148787895, 11.178926342275998, 52]]
[array([ 33., 246.]), [53.2725828449523, 11.178821782503267, 52]]
[array([ 36., 244.]), [53.27259773297738, 11.178782062417927, 52]]
[array([ 37., 244.]), [53.27259749488903, 11.178769092573843, 52]]
[array([ 38., 244.]), [53.2725972567986, 11.178756122615779, 52]]
[array([ 39., 244.]), [53.272597018706065, 11.178743152543728, 52]]
[array([ 40., 244.]), [53.27259678061143, 11.178730182357688, 52]]
[array([ 41., 244.]), [53.27259654251472, 11.178717212057663, 52]]
[array([ 42., 244.]), [53.27259630441591, 11.178704241643647, 52]]
[array([ 46., 245.]), [53.27258755037795, 11.178652765831618, 52]]
[array([ 47., 246.]), [53.272579510705995, 11.178640202034728, 52]]
[array([ 47., 247.]), [53.27257170929963, 11.178640609110557, 52]]
[array([ 47., 256.]), [53.272501502217985, 11.178644272502083, 52]]
[array([ 49., 257.]), [53.27249322498376, 11.17861873992793, 53]]
[array([ 58., 260.]), [53.272467677251775, 11.178503230604614, 53]]
